,job_titles,company_names,experiences,locations,descriptions_url,skills_sets
109,BI Data Analyst ,Logitech Engineering & Designs India Pvt Ltd,1 - 4 yrs,Chennai,https://www.timesjobs.com/job-detail/bi-data-analyst-logitech-engineering-designs-india-pvt-ltd-chennai-1-to-4-yrs-jobid-PCQX2KJ2gb1zpSvf__PLUS__uAgZw==&source=srp,"['bi', 'spss', 'dashboards', 'sql', 'database', 'data visualization', 'pl/sql', 'macros', 'data analysis', 'data analyst', 'tableau', 'written communication', 'statistical analysis', 'unix']"
110,Data Analyst Internship in Ahmedabad ,Maxgen Technologies(More Jobs),0 - 1 yrs,"Ahmedabad,  Anand,  Bhavnagar,  Rajkot,  Surat",https://www.timesjobs.com/job-detail/data-analyst-internship-in-ahmedabad-maxgen-technologies-ahmedabad-anand-bhavnagar-rajkot-surat-0-to-1-yrs-jobid-ZBHok5Ol1zpzpSvf__PLUS__uAgZw==&source=srp,['data analyst']
111,Data Analyst 2 ,Epsilon,2 - 5 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/data-analyst-2-epsilon-bengaluru-bangalore-2-to-5-yrs-jobid-kApLZTA0YVlzpSvf__PLUS__uAgZw==&source=srp,"['dashboards', 'sql', 'data science', 'base sas', 'data analytics', 'data analysis', 'sas', 'system management', 'sas programming', 'data analyst', 'unix']"
112,Data Analyst 2 ,PUBLICIS GROUPE,2 - 5 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/data-analyst-2-publicis-groupe-bengaluru-bangalore-2-to-5-yrs-jobid-Yfgdf7__SLASH__RUoRzpSvf__PLUS__uAgZw==&source=srp,"['dashboards', 'sql', 'data science', 'base sas', 'data analytics', 'data analysis', 'sas', 'system management', 'sas programming', 'data analyst', 'unix']"
113,CRM Data Analyst ,AL-FUTTAIM GROUP,5 - 8 yrs,Dubai,https://www.timesjobs.com/job-detail/crm-data-analyst-al-futtaim-group-dubai-5-to-8-yrs-jobid-mP50bDnjq4ZzpSvf__PLUS__uAgZw==&source=srp,"['dashboards', 'bi', 'data warehousing', 'sql', 'data visualization', 'crm', 'customer analytics', 'data analysis', 'data analyst', 'tableau']"
114,Securities Reference Data Analyst ,Citibank India,8 - 12 yrs,Pune,https://www.timesjobs.com/job-detail/securities-reference-data-analyst-citibank-india-pune-8-to-12-yrs-jobid-a2t3ChmQCRJzpSvf__PLUS__uAgZw==&source=srp,"['business process reengineering', 'business modeling', 'storage', 'business analyst', 'sql', 'product implementation', 'functional specifications', 'data analysis', 'business analysis', 'requirement specification', 'data analyst', 'business process', 'fsd', 'visio']"
115,"Associate ,Data Analyst ",DBS Bank Ltd,2 - 3 yrs,Singapore,https://www.timesjobs.com/job-detail/associate-data-analyst-dbs-bank-ltd-singapore-2-to-3-yrs-jobid-Q7Wk3BriaEJzpSvf__PLUS__uAgZw==&source=srp,"['business requirements', 'sql', 'project leader', 'data science', 'data scientist', 'data visualization', 'advanced analytics', 'data analytics', 'business analytics', 'data analyst', 'tableau', 'infrastructure', 'forms']"
116,Business Data Analyst - bigtapp ,BigTapp India Pvt Ltd,3 - 5 yrs,Singapore,https://www.timesjobs.com/job-detail/business-data-analyst-bigtapp-bigtapp-india-pvt-ltd-singapore-3-to-5-yrs-jobid-nzMvnMjM459zpSvf__PLUS__uAgZw==&source=srp,"['business requirements', 'bi', 'data warehousing', 'business analyst', 'sql', 'database', 'data visualization', 'requirement analysis', 'data analysis', 'data analyst', 'business requirement analysis', 'tableau']"
117,Lead Data Analyst ,Epsilon,13 - 16 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/lead-data-analyst-epsilon-bengaluru-bangalore-13-to-16-yrs-jobid-OuMtyeyndk5zpSvf__PLUS__uAgZw==&source=srp,"['sql', 'cluster analysis', 'crm', 'data analysis', 'sas', 'consulting', 'system management', 'data analyst', 'factor analysis', 'identity management', 'written communication', 'sas/sql', 'statistical analysis', 'sas access']"
118,Lead Data Analyst ,PUBLICIS GROUPE,13 - 16 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/lead-data-analyst-publicis-groupe-bengaluru-bangalore-13-to-16-yrs-jobid-dZGRcToqrMZzpSvf__PLUS__uAgZw==&source=srp,"['sql', 'cluster analysis', 'crm', 'data analysis', 'sas', 'consulting', 'system management', 'data analyst', 'factor analysis', 'identity management', 'written communication', 'sas/sql', 'statistical analysis', 'sas access']"
119,Data Analyst/Business Analyst ,SLA Consultants India,3 - 5 yrs,"Noida/Greater Noida,  Gurgaon,  Delhi,  Delhi/NCR",https://www.timesjobs.com/job-detail/data-analyst-business-analyst-sla-consultants-india-noida-greater-noida-gurgaon-delhi-delhi-ncr-3-to-5-yrs-jobid-tnz3VmbO75dzpSvf__PLUS__uAgZw==&source=srp,"['process analyst', 'dashboards', 'ms access', 'vba', 'bi', 'business analyst', 'sql', 'advanced excel', 'data']"
120,Operation Data analyst ,Nielsen Research Ltd. Co.,2 - 5 yrs,Israel,https://www.timesjobs.com/job-detail/operation-data-analyst-nielsen-research-ltd-co-israel-2-to-5-yrs-jobid-rtRcwltM0KFzpSvf__PLUS__uAgZw==&source=srp,"['bi', 'team player', 'sql', 'nosql', 'big data', 'mongodb']"
121,Senior Data Analyst ,Clear Trail Technologies Pvt Ltd,4 - 8 yrs,"Hyderabad/Secunderabad,  Noida/Greater Noida,  Mumbai,  Jaipur,  Bengaluru / Bangalore",https://www.timesjobs.com/job-detail/senior-data-analyst-clear-trail-technologies-pvt-ltd-hyderabad-secunderabad-noida-greater-noida-mumbai-jaipur-bengaluru-bangalore-4-to-8-yrs-jobid-HstKUpQFl9xzpSvf__PLUS__uAgZw==&source=srp,"['artificial intelligence', 'oracle bi', 'big data', 'python', 'user documentation', 'soap', 'bi', 'system administration', 'linux', 'perl', 'rest', 'os', 'machine learning', 'windows', 'written communication']"
122,Senior Data Analyst ,avtar steel limited,4 - 5 yrs,Chennai,https://www.timesjobs.com/job-detail/senior-data-analyst-avtar-steel-limited-chennai-4-to-5-yrs-jobid-r__SLASH__rZtUeO5PVzpSvf__PLUS__uAgZw==&source=srp,"['cleaning data', ' Formulating', ' suggesting', ' data-driven projects']"
123,Consultant - Data Analyst ,AstraZeneca Ltd,0 - 3 yrs,Chennai,https://www.timesjobs.com/job-detail/consultant-data-analyst-astrazeneca-ltd-chennai-0-to-3-yrs-jobid-r103NqLzgw1zpSvf__PLUS__uAgZw==&source=srp,"['python', 'oracle', 'c', 'information technology', 'consultant']"
124,Data Analyst-Fiat ,Binance,4 - 7 yrs,China,https://www.timesjobs.com/job-detail/data-analyst-fiat-binance-china-4-to-7-yrs-jobid-EJ2yZ__SLASH____SLASH__wunxzpSvf__PLUS__uAgZw==&source=srp,"['hive', 'python', 'bi', 'sql', 'hadoop', 'big data']"
125,Senior Data Analyst ,ClearTrail Technologies,4 - 8 yrs,"Hyderabad/Secunderabad,  Pune,  Jaipur,  Bengaluru / Bangalore",https://www.timesjobs.com/job-detail/senior-data-analyst-cleartrail-technologies-hyderabad-secunderabad-pune-jaipur-bengaluru-bangalore-4-to-8-yrs-jobid-oERXLa__PLUS__ugzFzpSvf__PLUS__uAgZw==&source=srp,"['artificial intelligence', 'oracle bi', 'big data', 'python', 'user documentation', 'soap', 'bi', 'system administration', 'linux', 'perl', 'rest', 'os', 'machine learning', 'windows', 'written communication']"
126,Senior Data Analyst ,verisk analytics india private limited,0 - 3 yrs,"Delhi,  Delhi/NCR",https://www.timesjobs.com/job-detail/senior-data-analyst-verisk-analytics-india-private-limited-delhi-delhi-ncr-0-to-3-yrs-jobid-n__PLUS__Mj4ngnj__PLUS__NzpSvf__PLUS__uAgZw==&source=srp,"['salesforce', 'html', 'python', 'mining', 'algorithms', 'bi', 'sql', 'crm', 'rest', 'problem solving', 'machine learning', 'data reports', 'written communication']"
127,Sr. Data Analyst ,advance auto parts,1 - 2 yrs,Hyderabad/Secunderabad,https://www.timesjobs.com/job-detail/sr-data-analyst-advance-auto-parts-hyderabad-secunderabad-1-to-2-yrs-jobid-bjr3Sk8TGM9zpSvf__PLUS__uAgZw==&source=srp,"['data analytics', 'data mining', 'dashboards', 'sql', 'tableau', 'predictive modeling', 'data visualization']"
128,Lead Data Analyst ,sigmoid analutics,0 - 3 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/lead-data-analyst-sigmoid-analutics-bengaluru-bangalore-0-to-3-yrs-jobid-S77B7o6VyidzpSvf__PLUS__uAgZw==&source=srp,"['linear regression', 'sql', 'it management', 'data science', 'use cases', 'data scientist', 'logistic regression', 'client interaction']"
129,Senior Data Analyst ,sRide Carpool App,3 - 6 yrs,Pune,https://www.timesjobs.com/job-detail/senior-data-analyst-sride-carpool-app-pune-3-to-6-yrs-jobid-iYZ834atY7hzpSvf__PLUS__uAgZw==&source=srp,"['visualization', 'data analysis', 'dashboards', 'sql', 'data extraction', 'tableau', 'analyst']"
130,Data Analyst Senior ,FIS GLOBAL BUSINESS SOLUTIONS INDIA PVT. LTD,0 - 3 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/data-analyst-senior-fis-global-business-solutions-india-pvt-ltd-bengaluru-bangalore-0-to-3-yrs-jobid-6G8VWx__SLASH__SGQlzpSvf__PLUS__uAgZw==&source=srp,"['metadata', 'bi', 'sql', 'security', 'data modeling', 'etl', 'rdbms', 'data quality', 'written communication', 'database servers', 'ssis']"
131,Senior Marketing Data Analyst ,Infoblox,5 - 8 yrs,Washington DC,https://www.timesjobs.com/job-detail/senior-marketing-data-analyst-infoblox-washington-dc-5-to-8-yrs-jobid-oDsNhgWrlfxzpSvf__PLUS__uAgZw==&source=srp,"['salesforce', 'director', 'system management', 'data mining', 'bi', 'sql', 'software engineer', 'crm', 'problem solving']"
132,Sr. Data Analyst ,zscaler softech pvt ltd,3 - 8 yrs,"Chandigarh,  Bengaluru / Bangalore",https://www.timesjobs.com/job-detail/sr-data-analyst-zscaler-softech-pvt-ltd-chandigarh-bengaluru-bangalore-3-to-8-yrs-jobid-HRDiVwoNyxFzpSvf__PLUS__uAgZw==&source=srp,"['python', 'bi', 'team player', 'sql', 'security', 'hadoop', 'big data', 'gateway']"
133,RWE Data Analyst/Scientist ,Sanofi-aventis Pvt Ltd,5 - 8 yrs,Hyderabad/Secunderabad,https://www.timesjobs.com/job-detail/rwe-data-analyst-scientist-sanofi-aventis-pvt-ltd-hyderabad-secunderabad-5-to-8-yrs-jobid-4__PLUS__4ZwIrG05xzpSvf__PLUS__uAgZw==&source=srp,"['data structures', 'big data', 'python', 'github', 'mining', 'nosql', 'algorithms', 'scala', 'sql', 'linux', 'machine learning', 'written communication', 'hdfs']"
